handle,title,description,price,category,subcategory,location,mainImage,additionalImages
furniture-sofa-beds-9,Leather Sofa Bed,"Leather sofa bed. Excellent quality, like new. Includes all original parts and accessories.",2558.00,furniture,sofa-beds,Dubai,https://placehold.co/800x800/DC2626/FFFFFF?text=Leather%20sofa%20bed,
furniture-sofa-beds-10,Sleeper Sofa,"Comfortable sleeper sofa in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",1087.00,furniture,sofa-beds,Ajman,https://placehold.co/800x800/EA580C/FFFFFF?text=Sleeper%20sofa,
furniture-living-room-sets-1,Complete Living Room Set,"Complete living room furniture set in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",7156.00,furniture,living-room-sets,Abu Dhabi,https://placehold.co/800x800/059669/FFFFFF?text=Complete%20living%20room,
furniture-living-room-sets-2,3-Piece Living Room Set,"3-piece set: sofa, coffee table, TV stand in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",6026.00,furniture,living-room-sets,Abu Dhabi,https://placehold.co/800x800/4F46E5/FFFFFF?text=3-piece%20living%20room,
furniture-living-room-sets-3,5-Piece Living Room Set,"5-piece set with all furniture. High-quality materials, sturdy construction. Perfect condition, barely used.",2375.00,furniture,living-room-sets,RAK,https://placehold.co/800x800/7C3AED/FFFFFF?text=5-piece%20living%20room,
furniture-living-room-sets-4,Modern Living Room Set,"Modern style living room set in great condition. Clean, well-cared for. No pets, no smoking household.",7793.00,furniture,living-room-sets,Sharjah,https://placehold.co/800x800/DC2626/FFFFFF?text=Modern%20living%20room,
furniture-living-room-sets-5,Traditional Living Room Set,"Traditional design living room set. Excellent quality, like new. Includes all original parts and accessories.",4941.00,furniture,living-room-sets,RAK,https://placehold.co/800x800/EA580C/FFFFFF?text=Traditional%20living%20room,
furniture-living-room-sets-6,Sectional Living Room Set,"Sectional sofa with matching pieces. High-quality materials, sturdy construction. Perfect condition, barely used.",7171.00,furniture,living-room-sets,Sharjah,https://placehold.co/800x800/059669/FFFFFF?text=Sectional%20living%20room,
furniture-living-room-sets-7,Leather Living Room Set,"Leather living room set. Excellent quality, like new. Includes all original parts and accessories.",6177.00,furniture,living-room-sets,RAK,https://placehold.co/800x800/4F46E5/FFFFFF?text=Leather%20living%20room,
furniture-living-room-sets-8,Fabric Living Room Set,"Fabric living room set in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",7619.00,furniture,living-room-sets,Abu Dhabi,https://placehold.co/800x800/7C3AED/FFFFFF?text=Fabric%20living%20room,
furniture-living-room-sets-9,Contemporary Living Room Set,Contemporary style set in very good condition. Minor wear consistent with normal use. Fully functional.,7190.00,furniture,living-room-sets,RAK,https://placehold.co/800x800/DC2626/FFFFFF?text=Contemporary%20living%20room,
furniture-living-room-sets-10,Luxury Living Room Set,"Luxury living room furniture set in great condition. Clean, well-cared for. No pets, no smoking household.",3990.00,furniture,living-room-sets,RAK,https://placehold.co/800x800/EA580C/FFFFFF?text=Luxury%20living%20room,
furniture-tv-stands-media-units-1,TV Stand with Storage,"TV stand with ample storage space in great condition. Clean, well-cared for. No pets, no smoking household.",505.00,furniture,tv-stands-media-units,Sharjah,https://placehold.co/800x800/059669/FFFFFF?text=Stand%20storage,
furniture-tv-stands-media-units-2,Wall-Mounted TV Stand,"Wall-mounted TV stand in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",1152.00,furniture,tv-stands-media-units,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=Wall-mounted%20stand,
furniture-tv-stands-media-units-3,Corner TV Stand,"Corner TV stand for space saving in great condition. Clean, well-cared for. No pets, no smoking household.",170.00,furniture,tv-stands-media-units,Sharjah,https://placehold.co/800x800/7C3AED/FFFFFF?text=Corner%20stand,
furniture-tv-stands-media-units-4,Modern TV Stand,"Modern design TV stand in great condition. Clean, well-cared for. No pets, no smoking household.",611.00,furniture,tv-stands-media-units,Sharjah,https://placehold.co/800x800/DC2626/FFFFFF?text=Modern%20stand,
furniture-tv-stands-media-units-5,Entertainment Center,"Complete entertainment center. High-quality materials, sturdy construction. Perfect condition, barely used.",603.00,furniture,tv-stands-media-units,RAK,https://placehold.co/800x800/EA580C/FFFFFF?text=Entertainment%20center,
furniture-tv-stands-media-units-6,TV Console Table,"Console table for TV in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",1055.00,furniture,tv-stands-media-units,Sharjah,https://placehold.co/800x800/059669/FFFFFF?text=Console%20table,
furniture-tv-stands-media-units-7,Floating TV Stand,Floating TV stand design in very good condition. Minor wear consistent with normal use. Fully functional.,185.00,furniture,tv-stands-media-units,Sharjah,https://placehold.co/800x800/4F46E5/FFFFFF?text=Floating%20stand,
furniture-tv-stands-media-units-8,TV Cabinet,"TV cabinet with doors. High-quality materials, sturdy construction. Perfect condition, barely used.",712.00,furniture,tv-stands-media-units,RAK,https://placehold.co/800x800/7C3AED/FFFFFF?text=Cabinet,
furniture-tv-stands-media-units-9,Media Console,"Media console with shelves in great condition. Clean, well-cared for. No pets, no smoking household.",592.00,furniture,tv-stands-media-units,Ajman,https://placehold.co/800x800/DC2626/FFFFFF?text=Media%20console,
furniture-tv-stands-media-units-10,TV Stand with Fireplace,"TV stand with electric fireplace. High-quality materials, sturdy construction. Perfect condition, barely used.",1118.00,furniture,tv-stands-media-units,Sharjah,https://placehold.co/800x800/EA580C/FFFFFF?text=Stand%20fireplace,
furniture-coffee-tables-1,Glass Coffee Table,"Glass top coffee table. Excellent quality, like new. Includes all original parts and accessories.",273.00,furniture,coffee-tables,RAK,https://placehold.co/800x800/059669/FFFFFF?text=Glass%20coffee%20table,
furniture-coffee-tables-2,Wooden Coffee Table,"Solid wood coffee table. High-quality materials, sturdy construction. Perfect condition, barely used.",317.00,furniture,coffee-tables,Abu Dhabi,https://placehold.co/800x800/4F46E5/FFFFFF?text=Wooden%20coffee%20table,
furniture-coffee-tables-3,Nesting Coffee Tables,"Set of nesting coffee tables in great condition. Clean, well-cared for. No pets, no smoking household.",542.00,furniture,coffee-tables,Sharjah,https://placehold.co/800x800/7C3AED/FFFFFF?text=Nesting%20coffee%20tables,
furniture-coffee-tables-4,Lift-Top Coffee Table,"Lift-top coffee table with storage in great condition. Clean, well-cared for. No pets, no smoking household.",182.00,furniture,coffee-tables,Sharjah,https://placehold.co/800x800/DC2626/FFFFFF?text=Lift-top%20coffee%20table,
furniture-coffee-tables-5,Round Coffee Table,"Round coffee table. Excellent quality, like new. Includes all original parts and accessories.",466.00,furniture,coffee-tables,Ajman,https://placehold.co/800x800/EA580C/FFFFFF?text=Round%20coffee%20table,
furniture-coffee-tables-6,Oval Coffee Table,"Oval coffee table. Excellent quality, like new. Includes all original parts and accessories.",408.00,furniture,coffee-tables,Ajman,https://placehold.co/800x800/059669/FFFFFF?text=Oval%20coffee%20table,
furniture-coffee-tables-7,Coffee Table with Storage,"Coffee table with hidden storage in great condition. Clean, well-cared for. No pets, no smoking household.",382.00,furniture,coffee-tables,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=Coffee%20table%20storage,
furniture-coffee-tables-8,Modern Coffee Table,"Modern design coffee table in great condition. Clean, well-cared for. No pets, no smoking household.",297.00,furniture,coffee-tables,Dubai,https://placehold.co/800x800/7C3AED/FFFFFF?text=Modern%20coffee%20table,
furniture-coffee-tables-9,Vintage Coffee Table,"Vintage style coffee table in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",272.00,furniture,coffee-tables,Abu Dhabi,https://placehold.co/800x800/DC2626/FFFFFF?text=Vintage%20coffee%20table,
furniture-coffee-tables-10,Coffee Table Set,Coffee table with matching side tables in very good condition. Minor wear consistent with normal use. Fully functional.,473.00,furniture,coffee-tables,Abu Dhabi,https://placehold.co/800x800/EA580C/FFFFFF?text=Coffee%20table,
furniture-side-tables-1,End Table,"Classic end table. Excellent quality, like new. Includes all original parts and accessories.",269.00,furniture,side-tables,RAK,https://placehold.co/800x800/059669/FFFFFF?text=End%20table,
furniture-side-tables-2,Side Table with Drawer,"Side table with drawer storage. High-quality materials, sturdy construction. Perfect condition, barely used.",263.00,furniture,side-tables,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=Side%20table%20drawer,
furniture-side-tables-3,Nesting Side Tables,Set of nesting side tables in very good condition. Minor wear consistent with normal use. Fully functional.,225.00,furniture,side-tables,Dubai,https://placehold.co/800x800/7C3AED/FFFFFF?text=Nesting%20side%20tables,
furniture-side-tables-4,Round Side Table,"Round side table. Excellent quality, like new. Includes all original parts and accessories.",54.00,furniture,side-tables,Ajman,https://placehold.co/800x800/DC2626/FFFFFF?text=Round%20side%20table,
furniture-side-tables-5,Square Side Table,Square side table in very good condition. Minor wear consistent with normal use. Fully functional.,321.00,furniture,side-tables,Dubai,https://placehold.co/800x800/EA580C/FFFFFF?text=Square%20side%20table,
furniture-side-tables-6,Bedside Table,"Bedside table for bedroom. Excellent quality, like new. Includes all original parts and accessories.",266.00,furniture,side-tables,Ajman,https://placehold.co/800x800/059669/FFFFFF?text=Bedside%20table,
furniture-side-tables-7,Accent Table,"Decorative accent table in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",186.00,furniture,side-tables,Abu Dhabi,https://placehold.co/800x800/4F46E5/FFFFFF?text=Accent%20table,
furniture-side-tables-8,C-table,"C-shaped side table in great condition. Clean, well-cared for. No pets, no smoking household.",355.00,furniture,side-tables,Sharjah,https://placehold.co/800x800/7C3AED/FFFFFF?text=C-table,
furniture-side-tables-9,Modern Side Table,Modern design side table in very good condition. Minor wear consistent with normal use. Fully functional.,164.00,furniture,side-tables,Ajman,https://placehold.co/800x800/DC2626/FFFFFF?text=Modern%20side%20table,
furniture-side-tables-10,Vintage Side Table,"Vintage style side table in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",80.00,furniture,side-tables,RAK,https://placehold.co/800x800/EA580C/FFFFFF?text=Vintage%20side%20table,
furniture-dining-tables-1,Dining Table for 6,"Dining table seats 6 people. Excellent quality, like new. Includes all original parts and accessories.",1887.00,furniture,dining-tables,RAK,https://placehold.co/800x800/059669/FFFFFF?text=Dining%20table%20for,
furniture-dining-tables-2,Extendable Dining Table,Extendable dining table for flexibility in very good condition. Minor wear consistent with normal use. Fully functional.,309.00,furniture,dining-tables,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=Extendable%20dining%20table,
furniture-dining-tables-3,Round Dining Table,"Round dining table. Excellent quality, like new. Includes all original parts and accessories.",2139.00,furniture,dining-tables,Dubai,https://placehold.co/800x800/7C3AED/FFFFFF?text=Round%20dining%20table,
furniture-dining-tables-4,Rectangular Dining Table,"Rectangular dining table in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",1421.00,furniture,dining-tables,Dubai,https://placehold.co/800x800/DC2626/FFFFFF?text=Rectangular%20dining%20table,
furniture-dining-tables-5,Farmhouse Dining Table,"Farmhouse style dining table. High-quality materials, sturdy construction. Perfect condition, barely used.",1603.00,furniture,dining-tables,Ajman,https://placehold.co/800x800/EA580C/FFFFFF?text=Farmhouse%20dining%20table,
furniture-dining-tables-6,Modern Dining Table,"Modern design dining table in great condition. Clean, well-cared for. No pets, no smoking household.",2283.00,furniture,dining-tables,RAK,https://placehold.co/800x800/059669/FFFFFF?text=Modern%20dining%20table,
furniture-dining-tables-7,Glass Dining Table,"Glass top dining table in great condition. Clean, well-cared for. No pets, no smoking household.",405.00,furniture,dining-tables,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=Glass%20dining%20table,
furniture-dining-tables-8,Wooden Dining Table,"Solid wood dining table. High-quality materials, sturdy construction. Perfect condition, barely used.",1434.00,furniture,dining-tables,Dubai,https://placehold.co/800x800/7C3AED/FFFFFF?text=Wooden%20dining%20table,
furniture-dining-tables-9,Dining Table Set,"Complete dining table with chairs. Excellent quality, like new. Includes all original parts and accessories.",1092.00,furniture,dining-tables,Ajman,https://placehold.co/800x800/DC2626/FFFFFF?text=Dining%20table,
furniture-dining-tables-10,Outdoor Dining Table,"Weather-resistant outdoor dining table. Excellent quality, like new. Includes all original parts and accessories.",1117.00,furniture,dining-tables,Ajman,https://placehold.co/800x800/EA580C/FFFFFF?text=Outdoor%20dining%20table,
furniture-dining-chairs-1,Dining Chair Set of 4,"Set of 4 dining chairs in great condition. Clean, well-cared for. No pets, no smoking household.",1093.00,furniture,dining-chairs,Dubai,https://placehold.co/800x800/059669/FFFFFF?text=Dining%20chair,
furniture-dining-chairs-2,Dining Chair Set of 6,"Set of 6 matching dining chairs in great condition. Clean, well-cared for. No pets, no smoking household.",217.00,furniture,dining-chairs,RAK,https://placehold.co/800x800/4F46E5/FFFFFF?text=Dining%20chair,
furniture-dining-chairs-3,Upholstered Dining Chairs,Comfortable upholstered dining chairs in very good condition. Minor wear consistent with normal use. Fully functional.,477.00,furniture,dining-chairs,RAK,https://placehold.co/800x800/7C3AED/FFFFFF?text=Upholstered%20dining%20chairs,
furniture-dining-chairs-4,Wooden Dining Chairs,"Classic wooden dining chairs. High-quality materials, sturdy construction. Perfect condition, barely used.",184.00,furniture,dining-chairs,Sharjah,https://placehold.co/800x800/DC2626/FFFFFF?text=Wooden%20dining%20chairs,
furniture-dining-chairs-5,Modern Dining Chairs,Modern design dining chairs in very good condition. Minor wear consistent with normal use. Fully functional.,357.00,furniture,dining-chairs,RAK,https://placehold.co/800x800/EA580C/FFFFFF?text=Modern%20dining%20chairs,
furniture-dining-chairs-6,Vintage Dining Chairs,"Vintage style dining chairs in great condition. Clean, well-cared for. No pets, no smoking household.",280.00,furniture,dining-chairs,Dubai,https://placehold.co/800x800/059669/FFFFFF?text=Vintage%20dining%20chairs,
furniture-dining-chairs-7,Folding Dining Chairs,"Space-saving folding chairs. High-quality materials, sturdy construction. Perfect condition, barely used.",599.00,furniture,dining-chairs,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=Folding%20dining%20chairs,
furniture-dining-chairs-8,Bar Stools,"Bar height stools in great condition. Clean, well-cared for. No pets, no smoking household.",948.00,furniture,dining-chairs,Sharjah,https://placehold.co/800x800/7C3AED/FFFFFF?text=Bar%20stools,
furniture-dining-chairs-9,Dining Bench,"Dining bench for table in great condition. Clean, well-cared for. No pets, no smoking household.",312.00,furniture,dining-chairs,Ajman,https://placehold.co/800x800/DC2626/FFFFFF?text=Dining%20bench,
furniture-dining-chairs-10,Ergonomic Dining Chairs,Ergonomic dining chairs in very good condition. Minor wear consistent with normal use. Fully functional.,409.00,furniture,dining-chairs,Abu Dhabi,https://placehold.co/800x800/EA580C/FFFFFF?text=Ergonomic%20dining%20chairs,
furniture-dining-sets-1,Complete Dining Set,"Complete dining room set in great condition. Clean, well-cared for. No pets, no smoking household.",4238.00,furniture,dining-sets,Sharjah,https://placehold.co/800x800/059669/FFFFFF?text=Complete%20dining,
furniture-dining-sets-2,6-Piece Dining Set,"6-piece dining set with table and chairs. Excellent quality, like new. Includes all original parts and accessories.",4249.00,furniture,dining-sets,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=6-piece%20dining,
furniture-dining-sets-3,8-Piece Dining Set,8-piece dining set in very good condition. Minor wear consistent with normal use. Fully functional.,4411.00,furniture,dining-sets,Abu Dhabi,https://placehold.co/800x800/7C3AED/FFFFFF?text=8-piece%20dining,
furniture-dining-sets-4,Modern Dining Set,"Modern style dining set in great condition. Clean, well-cared for. No pets, no smoking household.",952.00,furniture,dining-sets,Sharjah,https://placehold.co/800x800/DC2626/FFFFFF?text=Modern%20dining,
furniture-dining-sets-5,Traditional Dining Set,"Traditional design dining set in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",2123.00,furniture,dining-sets,Sharjah,https://placehold.co/800x800/EA580C/FFFFFF?text=Traditional%20dining,
furniture-dining-sets-6,Extendable Dining Set,Extendable table dining set in very good condition. Minor wear consistent with normal use. Fully functional.,4511.00,furniture,dining-sets,Dubai,https://placehold.co/800x800/059669/FFFFFF?text=Extendable%20dining,
furniture-dining-sets-7,Round Dining Set,"Round table dining set in great condition. Clean, well-cared for. No pets, no smoking household.",4271.00,furniture,dining-sets,Dubai,https://placehold.co/800x800/4F46E5/FFFFFF?text=Round%20dining,
furniture-dining-sets-8,Farmhouse Dining Set,"Farmhouse style dining set in great condition. Clean, well-cared for. No pets, no smoking household.",3520.00,furniture,dining-sets,Dubai,https://placehold.co/800x800/7C3AED/FFFFFF?text=Farmhouse%20dining,
furniture-dining-sets-9,Contemporary Dining Set,"Contemporary dining set in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",981.00,furniture,dining-sets,Sharjah,https://placehold.co/800x800/DC2626/FFFFFF?text=Contemporary%20dining,
furniture-dining-sets-10,Luxury Dining Set,"Luxury dining room set in great condition. Clean, well-cared for. No pets, no smoking household.",2273.00,furniture,dining-sets,Sharjah,https://placehold.co/800x800/EA580C/FFFFFF?text=Luxury%20dining,
furniture-beds-1,Queen Size Bed,"Queen size bed frame in great condition. Clean, well-cared for. No pets, no smoking household.",1894.00,furniture,beds,Sharjah,https://placehold.co/800x800/059669/FFFFFF?text=Queen%20size%20bed,
furniture-beds-2,King Size Bed,King size bed frame in very good condition. Minor wear consistent with normal use. Fully functional.,2499.00,furniture,beds,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=King%20size%20bed,
